Date,US CONS DISCRET ,US CONS STAPLES ,US ENERGY ,US HEALTH CARE ,US FINANCIALS ,US INFO TECH ,US UTILITIES ,US INDUSTRIALS ,US MATERIALS ,US TELECOM SERV ,CN CONS DIS ,CN CONS STP ,CN ENERGY ,CN HLTH CR ,CN FINCLS ,CN INFO TECH ,CN UTIL ,CN INDSTRLS ,CN MATRLS ,CN TEL SRVC 
31/05/2011,-0.004591997,0.023670828,-0.046068693,0.021541255,-0.033561613,-0.018123444,0.016239367,-0.029979675,-0.029196793,0.016400775,-0.003793705,0.036201106,-0.033777369,0.006179025,-0.002447232,0.015338346,0.016239367,-0.029979675,-0.029196793,0.073784536
30/06/2011,-0.003205583,-0.028512932,-0.019299876,-0.013065302,-0.029189544,-0.026371908,-0.004741278,-0.008227283,-0.004533495,-0.014669209,0.001337999,-0.028358991,-0.059137063,-0.014107884,-0.022028008,-0.068127962,-0.004741278,-0.008227283,-0.004533495,-0.005684651
29/07/2011,-0.014720501,-0.016487944,0.006363279,-0.039471443,-0.037173104,0.015672532,-0.011056872,-0.070247934,-0.033912089,-0.066696442,-0.065577141,-0.001765918,-0.017596607,-0.0003367,-0.060151555,-0.052765416,-0.011056872,-0.070247934,-0.033912089,-0.032898696
31/08/2011,-0.054502004,0.003655385,-0.100351675,-0.023814953,-0.097148308,-0.061770696,0.016830211,-0.068203843,-0.068773938,-0.013558781,-0.073149269,-0.026191646,-0.082374923,-0.110474907,-0.011287811,-0.002013423,0.016830211,-0.068203843,-0.068773938,0.03868492
30/09/2011,-0.06958029,-0.037017268,-0.125819316,-0.0456256,-0.115553578,-0.034170136,-0.001228214,-0.09403242,-0.165875706,-0.013502587,-0.026821742,0.013826513,-0.151839629,0.03824309,-0.042348574,-0.110961668,-0.001228214,-0.09403242,-0.165875706,-0.024962556
31/10/2011,0.118062935,0.042972189,0.169516023,0.056019362,0.141653568,0.114651366,0.035193535,0.139141794,0.175995665,0.017621506,0.021707317,0.014782739,0.132207459,-0.059263311,0.017676768,0.037821483,0.035193535,0.139141794,0.175995665,0.016589862
30/11/2011,-0.008687133,0.024102035,0.016529883,0.007236114,-0.050225796,-0.018692919,0.004581966,0.006428745,-0.000875455,0.007893041,-0.005609931,-0.006278203,0.000584945,0.148478387,-0.04258757,-0.053206997,0.004581966,0.006428745,-0.000875455,0.011181626
30/12/2011,0.01044931,0.024236874,-0.010638096,0.027509332,0.016061695,-0.009041023,0.030350808,0.009322561,-0.023657997,0.037398114,-0.018125075,0.015646594,-0.01786693,-0.045400844,0.024832741,-0.059276366,0.030350808,0.009322561,-0.023657997,0.042339111
31/01/2012,0.058571578,-0.016987542,0.014823064,0.029659119,0.079666724,0.075817823,-0.036616024,0.069102354,0.110575788,-0.039362194,0.032640587,-0.00165233,0.049181548,0.084512023,0.023819326,0.045417349,-0.036616024,0.069102354,0.110575788,-0.015769856
29/02/2012,0.045069748,0.034440941,0.054547519,0.009907689,0.048416935,0.072061858,-5.67279E-05,0.023230513,-0.005444029,0.037206319,0.055167515,-0.012851093,0.022197007,0.05689599,0.03527114,0.018786693,-5.67279E-05,0.023230513,-0.005444029,-0.00077685
30/03/2012,0.044438111,0.030158265,-0.033963686,0.042687596,0.073052685,0.050297172,0.010211607,0.011695541,0.001282928,0.010050251,0.038483115,0.083534691,-0.084778687,0.016041956,0.039895683,0.030349597,0.010211607,0.011695541,0.001282928,0.01292517
30/04/2012,0.012370914,0.001024211,-0.009806289,-0.003442262,-0.024948318,-0.019231931,0.01774583,-0.011467606,-0.010207568,0.041867585,0.014369058,0.036226278,0.00064433,0.043115227,-0.00811056,-0.037658464,0.01774583,-0.011467606,-0.010207568,-0.019092392
31/05/2012,-0.058673226,-0.012846383,-0.106236519,-0.038916778,-0.093191346,-0.07847727,-0.001269106,-0.063568994,-0.0799137,0.026006465,-0.032697838,-0.037199701,-0.108064088,-0.010769902,-0.073591909,-0.0887253,-0.001269106,-0.063568994,-0.0799137,-9.78091E-05
29/06/2012,0.017748338,0.033368842,0.056158318,0.056066705,0.048780488,0.029456328,0.037569061,0.035327902,0.045537682,0.053558642,0.004844748,0.012909406,0,-0.005590702,0.007606991,-0.030187075,0.037569061,0.035327902,0.045537682,0.013401154
31/07/2012,-0.003377589,0.026133957,0.040594512,0.009324803,0.000354664,0.009501753,0.025079872,0.003515449,-0.01332197,0.054777763,-0.002849003,0.018734519,0.048284355,-0.023228288,-0.006108806,-0.049101271,0.025079872,0.003515449,-0.01332197,0.026351351
31/08/2012,0.042025785,-0.006462123,0.018789383,0.007552768,0.030135737,0.047962093,-0.047997507,0.010766511,0.022412147,-0.025128866,0.009340659,0.021705495,0.023658092,0.021508634,0.025397194,0.060396496,-0.047997507,0.010766511,0.022412147,0.014671306
28/09/2012,0.031007622,0.011067993,0.033080931,0.038060817,0.032843306,0.011784443,0.008839417,0.015294118,0.035482437,0.038532716,0.007403375,-0.01458117,0.027662353,-0.022093713,0.021940737,0.02,0.008839417,0.015294118,0.035482437,0.001390305
31/10/2012,-0.016292866,-0.013541639,-0.020410385,-0.004255411,0.018136812,-0.068123913,0.013791984,-0.006514046,-0.022500859,-0.052058805,0.012752621,0.023051592,-0.00323475,-0.008188021,0.011398849,0.02514919,0.013791984,-0.006514046,-0.022500859,0.036930766
30/11/2012,0.02999251,0.014302937,-0.018020521,0.003043319,-0.010660183,0.007681458,-0.049829279,0.013460265,0.014540503,-0.008794898,-0.002881229,0.006695279,-0.037011281,-0.054425929,0.026644053,0.079417879,-0.049829279,0.013460265,0.014540503,-0.008301348
31/12/2012,0.002414223,-0.025393052,0.005186624,-0.003808745,0.045557656,-0.001227417,-0.002470522,0.022550544,0.02888071,-0.010837171,0.038848459,0.055806617,-0.00288855,0.014874697,0.017799094,0.00385208,-0.002470522,0.022550544,0.02888071,0.003960396
31/01/2013,0.056403623,0.056377848,0.075896878,0.072556432,0.057765323,0.013431935,0.047168749,0.05618251,0.037581012,0.021843331,0.041104358,-0.009408439,0.024100748,0.083320057,0.031415257,0.087490407,0.047168749,0.05618251,0.037581012,0.025551372
28/02/2013,0.009807979,0.030594039,-3.48791E-05,0.011197487,0.011323818,0.003850654,0.015910557,0.020707333,-0.017359562,0.02559807,0.021868197,0.049404859,-0.001689388,0.046029412,0.027970963,0.036697248,0.015910557,0.020707333,-0.017359562,0.041087508
29/03/2013,0.047613101,0.045037935,0.018469105,0.062378012,0.036929057,0.02432925,0.051269841,0.021105499,0.021670038,0.03240771,0.050740777,0.011575513,-0.003620622,0.005623506,-0.024246914,0.027229408,0.051269841,0.021105499,0.021670038,0.021328407
30/04/2013,0.029348828,0.029039881,-0.008801671,0.02787672,0.026853021,0.008337816,0.058936031,-0.008400343,0.005454105,0.059932916,0.003409824,0.047768989,-0.02820128,-0.039703621,-0.00678172,0.098409543,0.058936031,-0.008400343,0.005454105,-0.005179643
31/05/2013,0.026251284,-0.023887876,0.020765669,0.013970709,0.058730159,0.042329237,-0.095769962,0.046175282,0.016635191,-0.074456652,0.044085231,0.003628234,0.025930743,0.079050808,0.01788535,-0.008446456,-0.095769962,0.046175282,0.016635191,-0.002892562
28/06/2013,0.007505021,-0.006136309,-0.020850963,-0.008579908,-0.017766117,-0.036948819,0.006044678,-0.014570348,-0.045057508,0.018643958,0.030612245,0.030673726,-0.035852944,0.064085267,-0.012114537,-0.059628841,0.006044678,-0.014570348,-0.045057508,-0.086614173
31/07/2013,0.051384119,0.038777851,0.049987901,0.070884285,0.052774174,0.040962329,0.04200627,0.056034599,0.055088779,-0.007409753,0.036872653,0.069371125,0.044582323,0.03854444,0.041907368,0.021999353,0.04200627,0.056034599,0.055088779,-0.007350272
30/08/2013,-0.02996737,-0.045435324,-0.02077503,-0.036340534,-0.052158469,-0.008423822,-0.055154432,-0.027592915,-0.001922172,-0.041408792,0.005926902,-0.043236259,0.016127763,0.027957514,0.014007101,0.045584046,-0.055154432,-0.027592915,-0.001922172,0.006947619
30/09/2013,0.052884977,0.009647568,0.016844866,0.030274262,0.026271511,0.028278348,0.007429421,0.05475125,0.041583147,-0.006256656,0.032242226,0.004847981,0.021097863,-0.039429929,0.01817833,-0.018770814,0.007429421,0.05475125,0.041583147,0.026781661
31/10/2013,0.045989236,0.061281201,0.040720167,0.042046347,0.031486381,0.045006355,0.036557101,0.050461692,0.041092789,0.073476222,0.051133661,0.051209594,0.026310801,0.024357072,0.061334087,-0.003702561,0.036557101,0.050461692,0.041092789,0.036074271
29/11/2013,0.03333549,0.014240434,0.005035823,0.044869485,0.043710715,0.036359951,-0.023427178,0.03323672,0.010801015,-0.026330567,-0.003318501,-0.017669814,-0.01108197,0.017139409,0.024633822,0.034995355,-0.023427178,0.03323672,0.010801015,0.019030551
31/12/2013,0.021109335,0.002355179,0.030047735,0.006645143,0.02004015,0.041112455,0.005411875,0.040353177,0.045754446,-0.003396347,0.024895952,0.003070249,0.018639573,0.042719829,0.010093134,0.05176541,0.005411875,0.040353177,0.045754446,-0.008039528
31/01/2014,-0.059655117,-0.053025168,-0.063268219,0.008718667,-0.037256964,-0.025876204,0.028776978,-0.045285771,-0.046632835,-0.041602366,-0.003913172,0.016335629,-0.008360836,0.112780244,-0.042499357,0.081081081,0.028776978,-0.045285771,-0.046632835,0.00776699
28/02/2014,0.060896662,0.034880115,0.045737501,0.059499923,0.029394142,0.043413462,0.027972028,0.035164479,0.066896849,-0.010399195,0.013638722,0.032178866,0.043413949,-0.007874821,0.041474448,0.033157895,0.027972028,0.035164479,0.066896849,-0.001926782
31/03/2014,-0.029258491,0.018788759,0.022777116,-0.013751912,0.030780292,0.002134131,0.030881417,0.007894266,0.005764563,0.046711864,0.027129799,0.019124037,0.051779132,-0.042676013,0.016298972,-0.041518085,0.030881417,0.007894266,0.005764563,0.016283364
30/04/2014,-0.014126196,0.026995836,0.051141063,-0.005996957,-0.016375473,0.002062513,0.042014812,0.014954847,0.00693816,0.004210117,0.018368219,0.027509803,0.067122688,-0.058576505,0.012440758,0.017007707,0.042014812,0.014954847,0.00693816,-0.013462174
30/05/2014,0.027326264,0.017472733,0.010447478,0.025692845,0.012325668,0.034906876,-0.016492779,0.016855038,0.028327009,0.033862229,0.007829978,-0.028863044,-0.010483438,0.066453163,0.008191925,-0.033969166,-0.016492779,0.016855038,0.028327009,0.037086647
30/06/2014,0.018261461,-0.005305557,0.049274652,0.020688456,0.022783374,0.022653408,0.041969704,0.001010448,0.014598776,-0.012726932,0.013041065,0.027007641,0.06468392,-0.019305019,0.026821988,0.076548553,0.041969704,0.001010448,0.014598776,-0.027042299
31/07/2014,-0.013690728,-0.034441469,-0.034028284,-0.000212911,-0.015524608,0.014008791,-0.069132619,-0.041257705,-0.01994002,0.025655608,0.014516571,0.062251374,-0.048255605,0.00492126,0.043037668,0.022361809,-0.069132619,-0.041257705,-0.01994002,0.009956028
29/08/2014,0.04332868,0.045726139,0.018282186,0.04717691,0.040218652,0.036783509,0.04451237,0.039426523,0.035482926,-0.010720227,0.061825054,0.020668363,0.024658311,0.059962999,0.001432166,0.010813468,0.04451237,0.039426523,0.035482926,0.015772612
30/09/2014,-0.029197966,0.00275987,-0.07638462,0.003199566,-0.005414185,-0.007504775,-0.021536351,-0.012693966,-0.017353579,0.003487576,-0.040427155,0.030584808,-0.101484464,0.007392197,-0.023693568,0.003890105,-0.021536351,-0.012693966,-0.017353579,-0.034613829
31/10/2014,0.020895585,0.034037887,-0.029846456,0.052556895,0.028531173,0.01659292,0.079162578,0.036497784,-0.026170138,-0.001861851,0.042594065,0.044896184,-0.108636908,0.046983286,-0.000791797,0.042140954,0.079162578,0.036497784,-0.026170138,0.035938678
28/11/2014,0.052795531,0.05323352,-0.088473773,0.031841818,0.02117061,0.049681757,0.007274932,0.027946844,0.011958343,0.011067587,0.064108266,0.061537661,-0.116543229,0.016353548,0.0395816,0.055542645,0.007274932,0.027946844,0.011958343,0.061216238
31/12/2014,0.007546001,-0.013662389,0.003438366,-0.01453369,0.016219512,-0.017395626,0.032371781,-0.00333948,-0.008927702,-0.061865814,0.022331025,0.075978831,-0.039614282,-0.0056508,-0.034606296,0.051739322,0.032371781,-0.00333948,-0.008927702,-0.021869999
30/01/2015,-0.031359428,-0.01269066,-0.048824562,0.011730242,-0.069932797,-0.039063516,0.023444657,-0.036877916,-0.019850629,-0.022418879,-0.000350426,0.030240237,-0.022976029,0.107493739,-0.083300434,0.046054009,0.023444657,-0.036877916,-0.019850629,0.02103459
27/02/2015,0.084563036,0.04172411,0.035056905,0.041309937,0.056482049,0.078941828,-0.069577247,0.051992402,0.078169908,0.065848588,0.068357093,0.008531707,0.02671049,0.077839624,0.075064599,0.068240945,-0.069577247,0.051992402,0.078169908,-0.02372959
31/03/2015,-0.006384378,-0.024308123,-0.020345968,0.007634594,-0.007846849,-0.033857906,-0.013075611,-0.026841689,-0.049905459,-0.037873545,-0.011484196,-0.008832102,-0.019207358,0.072379569,-0.015863478,-0.034844511,-0.013075611,-0.026841689,-0.049905459,-0.03759281
30/04/2015,-0.000933995,-0.00965432,0.065628535,-0.014130577,0.000769349,0.022795476,-0.004874158,-0.000833924,0.030733092,0.046818806,-0.033857048,-0.026953522,0.088723394,-0.001730625,0.030732283,0.004270186,-0.004874158,-0.000833924,0.030733092,0.02054572
